부서명,팩스번호,데이터기준일자
대외정책관,055-225-4742,2025-03-12
인구정책담당관,055-225-4759,2025-03-12
청년정책담당관,055-225-4749,2025-03-12
시민소통담당관,055-225-4739,2025-03-12
공보관,055-225-4700,2025-03-12
감사관,055-225-4701,2025-03-12
안전총괄담당관,055-225-4740,2025-03-12
재난대응담당관,055-225-4784,2025-03-12
기획조정실 정책기획관,055-225-4702,2025-03-12
기획조정실 예산담당관,055-225-4703,2025-03-12
기획조정실 세정과,055-225-4714,2025-03-12
기획조정실 법무담당관,055-225-4706,2025-03-12
기획조정실 디지털정책담당관,055-225-4705,2025-03-12
미래전략산업국 미래전략과,055-225-4715,2025-03-12
미래전략산업국 전략산업과,055-225-4717,2025-03-12
미래전략산업국 미래신산업과,055-225-4710,2025-03-12
경제일자리국 지역경제과,055-225-4716,2025-03-12
경제일자리국 일자리창출과,055-225-4718,2025-03-12
경제일자리국 투자유치단,055-225-4723,2025-03-12
복지여성보건국 사회복지과,055-225-4728,2025-03-12
복지여성보건국 여성가족과,055-225-4731,2025-03-12
복지여성보건국 아동청소년과,055-225-4735,2025-03-12
복지여성보건국 노인장애인과,055-225-4730,2025-03-12
복지여성보건국 보건위생과,055-225-4757,2025-03-12
자치행정국 자치행정과,055-225-4711,2025-03-12
자치행정국 평생교육과,055-225-4704,2025-03-12
자치행정국 인사과,055-225-4712,2025-03-12
자치행정국 회계과,055-225-4713,2025-03-12
자치행정국 공유재산경영과,055-225-4786,2025-03-12
도시정책국 도시계획과,055-225-4732,2025-03-12
도시정책국 산업단지계획과,055-225-4785,2025-03-12
도시정책국 건축경관과,055-225-4736,2025-03-12
도시정책국 주택정책과,055-225-4733,2025-03-12
도시정책국 도시재생과,055-225-4708,2025-03-12
문화관광체육국 문화예술과,055-225-4725,2025-03-12
문화관광체육국 문화유산육성과,055-225-4795,2025-03-12
문화관광체육국 관광과,055-225-4724,2025-03-12
문화관광체육국 체육진흥과,055-225-4726,2025-03-12
교통건설국 교통정책과,055-225-4727,2025-03-12
교통건설국 버스운영과,055-225-4960,2025-03-12
교통건설국 신교통추진단,055-225-4738,2025-03-12
교통건설국 건설도로과,055-225-4737,2025-03-12
해양항만수산국 항만물류정책과,055-225-4758,2025-03-12
해양항만수산국 해양레저과,055-225-4788,2025-03-12
해양항만수산국 해양사업과,055-225-4789,2025-03-12
해양항만수산국 수산과,055-225-4719,2025-03-12
기후환경국 환경정책과,055-225-4720,2025-03-12
기후환경국 기후대기과,055-225-4815,2025-03-12
기후환경국 자원순환과,055-225-4722,2025-03-12
기후환경국 하천과,055-225-4741,2025-03-12
도시공공개발국 공공시설기획과,055-225-4821,2025-03-12
도시공공개발국 시설공사1과,055-225-4825,2025-03-12
도시공공개발국 시설공사2과,055-225-4829,2025-03-12
도시공공개발국 도시개발사업과,055-225-4787,2025-03-12
농업기술센터 농업정책과,055-225-4760,2025-03-12
농업기술센터 농업기술과,055-225-4761,2025-03-12
농업기술센터 농산물유통과,055-225-4764,2025-03-12
농업기술센터 축산과,055-225-4762,2025-03-12
농업기술센터 도시농업과,055-225-4765,2025-03-12
농업기술센터 농수산물도매시장관리과,055-225-4813,2025-03-12
창원보건소 보건정책과,055-225-4766,2025-03-12
창원보건소 건강관리과,055-225-4767,2025-03-12
창원보건소 건강증진과,055-225-4768,2025-03-12
마산보건소 보건행정과,055-225-4769,2025-03-12
마산보건소 건강관리과,055-225-4770,2025-03-12
마산보건소 동마산보건지소,055-251-2669,2025-03-12
마산보건소 내서읍보건지소,055-232-0804,2025-03-12
진해보건소 보건행정과,055-225-4771,2025-03-12
진해보건소 서부보건지소,055-225-4772,2025-03-12
푸른도시사업소 공원녹지과,055-225-4791,2025-03-12
푸른도시사업소 산림휴양과,055-225-4793,2025-03-12
푸른도시사업소 매립장관리과,055-225-4812,2025-03-12
푸른도시사업소 주남저수지과,055-225-4780,2025-03-12
상수도사업소 수도행정과,055-225-4773,2025-03-12
상수도사업소 수도시설과,055-225-4777,2025-03-12
상수도사업소 칠서정수과,055-225-4775,2025-03-12
상수도사업소 대산정수과,055-225-4779,2025-03-12
상수도사업소 석동정수과,055-225-4781,2025-03-12
상수도사업소 수질연구센터,055-225-4776,2025-03-12
상수도사업소 창원급수센터,055-225-4751,2025-03-12
상수도사업소 마산급수센터,055-225-4752,2025-03-12
상수도사업소 진해급수센터,055-225-4753,2025-03-12
하수도사업소 하수행정과,055-225-4782,2025-03-12
하수도사업소 하수시설과,055-225-4783,2025-03-12
하수도사업소 하수운영과,055-225-4811,2025-03-12
