번호,서명,저자,발행자,발행년,책수,단가,금액
1,사랑한다고 말할 용기,황선우 지음,책읽는수요일,2021,3,14800,"44,400"
2,"아빠, 쿠키 주세요",데이비드 에즈라 스테인 지음,시공주니어,2021,1,"\13,000","13,000"
3,숨바꼭질!,Lolita SECHAN,바둑이하우스,2021,1,"\15,000","15,000"
4,소년과 살쾡이,우상구 지음,청어람주니어,2015,1,"\9,800","9,800"
5,세종대왕을 찾아라,김진 지음,천개의바람,2021,1,"\13,000","13,000"
6,자동 물시계 자격루,김명희 지음,푸른숲주니어,2021,1,"\14,800","14,800"
7,(주식 단기투자 필독서) 주식의 道,생존재테크 지음,트러스트북스,2021,1,"\18,800","18,800"
8,몸의 기분,마숑 지음,fifo,2021,1,"\13,800","13,800"
9,내 인생도 편집이 되나요?,이지은 지음,달,2021,1,"\15,000","15,000"
10,"들어 봐, 우릴 위해 만든 노래야",이환희,후마니타스,2021,1,"\18,000","18,000"
11,작은 마을,후지타 신사쿠 지음,미래아이,2021,1,"\13,000","13,000"
12,디즈니 철학 수업  : 디즈니 영화 속 숨어 있는 철학 이야기,매건 S. 로이드 외 31인 지음,서울문화사,2021,1,"\16,800","16,800"
13,닥터앤닥터 육아일기 . 6  육아의 최종 목표,닥터베르 글·그림,북폴리오,2021,1,"\16,800","16,800"
14,태백산맥 . 9  제4부 전쟁과 분단,조정래 지음,해냄,2021,2,"\17,500","35,000"
15,(정재승의) 인간 탐구 보고서 . 8  불안이 온갖 미신을 만든다,정재은,아울북,2021,2,"\14,000","28,000"
16,(초등맘이 꼭 알아야 할) 국어·영어 독서법  : 교과서 연계 독서법 완벽 정리,도준형,&page,2021,1,"\16,800","16,800"
17,Who? 인물 사이언스  = Kim taekjin . 20  김택진,박세준 글,다산어린이,2021,2,"\12,800","25,600"
18,Who? 인물 사이언스  = Nikola Tesla . 25  니콜라 테슬라,김승민 글,다산어린이,2021,2,"\12,800","25,600"
19,내 이름은 빨강  = My name is red . 1,오르한 파묵 지음,민음사,2019,1,"\13,000","13,000"
20,내 이름은 빨강  = My name is red . 2,오르한 파묵 지음,민음사,2019,1,"\13,000","13,000"
21,100일 동안 매일  : 엄혜숙의 산책 읽기,엄혜숙 글·그림,이유,2021,1,"\15,000","15,000"
22,나는 왜 SF를 쓰는가  : 디스토피아와 유토피아 사이에서,마거릿 애트우드 지음,민음사,2021,1,"\17,000","17,000"
23,통영  : 반수연 소설집,반수연 지음,강,2021,1,"\14,000","14,000"
24,삶의 모든 색,리사 아이사토 지음,길벗어린이,2021,1,"\38,000","38,000"
25,세상 편하게 부자되는 법 ETF  : 투자는 하고 싶은데 주식이 어려운 당신에게,이승원,21세기북스,2021,1,"\17,000","17,000"
26,1일 1단어 1분으로 끝내는 경제공부,태지원 지음,글담출판,2021,2,"\16,000","32,000"
27,투자가로 살아라  = A way of life like an investor  : 불안한 미래를 돌파하는 인생 전략,후지노 히데토 지음,라이팅하우스,2021,1,"\15,000","15,000"
28,아흔에 색연필을 든 항칠 할매 이야기,장희창 글,호밀밭,2021,1,"\15,800","15,800"
29,이창호 AI  : 함정수,이창호,다산출판사,2021,1,"\18,000","18,000"
30,관자보  : 중국 바둑 고전의 현대적 번역,未詳 원저,서림문화사,2017,1,"\16,000","16,000"
31,세상에서 가장 행복한 100세 노인  : 죽음의 수용소에서 살아남은 사람의 인생 수업,에디 제이쿠 지음,동양북스,2021,1,"\16,800","16,800"
32,점복이 깜정이,고정순 글·그림,웅진주니어,2017,1,"\12,000","12,000"
33,내일은 맑겠습니다  : 이명애 그림책,이명애 지음,문학동네,2019,1,"\16,000","16,000"
34,똥친구,노부미 글·그림,길벗어린이,2017,1,"\12,000","12,000"
35,"시소  = Seesaw  : 나, 너 그리고 우리",고정순 글·그림,길벗어린이,2020,1,"\13,000","13,000"
36,산타 수첩,노부미 지음,리틀씨앤톡,2020,1,"\12,000","12,000"
37,아니의 호수,키티 크라우더 지음,논장,2020,1,"\12,000","12,000"
38,하지만 하지만 할머니,사노 요코 지음,상상스쿨,2020,1,"\12,000","12,000"
39,휴가,이명애 쓰고 그림,키다리,2021,1,"\16,000","16,000"
40,내가 싼 게 아니야!,조미자 지음,한솔수북,2017,1,"\12,000","12,000"
41,깜깜하지 않은 밤에,조미자 지음,핑거,2021,1,"\14,000","14,000"
42,오후의 글쓰기,이은경 지음,큐리어스,2021,1,"\13,800","13,800"
43,"초등 아이, 어떻게 잡아줘야 할까?",조현아 지음,빌리버튼,2021,1,"\14,500","14,500"
44,법언어학 입문,John Gibbons 지음,집문당,2020,1,"\25,000","25,000"
45,퀀텀의 세계,이순칠 지음,해나무,2021,1,"\18,000","18,000"
46,(이론과 실전을 겸비한) 한일 커뮤니케이션 통역,유경자,한국문화사,2021,1,"\17,000","17,000"
47,빛을 두려워하는,더글라스 케네디 지음,밝은세상,2021,1,"\16,000","16,000"
48,본격 한중일 세계사 . 12  임오군란과 통킹 위기,굽시니스트 지음,위즈덤하우스,2021,2,"\14,800","29,600"
49,(자산을 폭발적으로 불리는 전략) 월급만으로 부자되는 집중 투자법,김준석 지음,유노북스,2022,1,"\17,000","17,000"
50,미래가 온다 신소재,김성화,와이즈만 Books,2021,2,"\13,000","26,000"
